,importance
P5_alpha_rel_power,0.00032139249140165194
P4_median,0.0003212534276381686
P4_gamma_power,0.0003211869251228871
CZ_skew,0.0003210905425236608
Y_skew,0.0003210606585438462
F1_max,0.0003205428929787511
CP1_quartile_1,0.00032010433964646876
PZ_beta_power,0.0003187597196758535
F3_kurtosis,0.0003187208904588816
F3_mean,0.00031781484055713814
CPZ_min,0.0003162004640757672
AF7_min,0.00031394011287422024
CP6_alpha_rel_power,0.00031297542788610773
C1_mean,0.0003128403611782911
C4_delta_rel_power,0.0003125795565554602
CP5_quartile_3,0.00031083469796336366
F5_quartile_3,0.0003104502822009165
T7_mean,0.0003104388374435776
FZ_theta_rel_power,0.0003099061275490666
TP8_max,0.0003098905292277489
C6_alpha_rel_power,0.00030870014158375944
FPZ_gamma_rel_power,0.00030837810523899183
F4_theta_power,0.0003078798354712213
FP1_beta_power,0.00030663670114861464
CP1_quartile_3,0.0003064271719861733
AF7_delta_rel_power,0.0003056042198270937
POZ_max,0.000305058634473395
FPZ_skew,0.00030419574952215376
PO1_theta_rel_power,0.00030379274193154864
OZ_quartile_3,0.0003035477013126439
FC6_delta_rel_power,0.0003026199950198356
P1_min,0.0003023364791904118
F4_beta_power,0.0003022031848902472
P5_gamma_power,0.00030158967948384837
FC5_delta_rel_power,0.00030126897272484863
FP2_theta_rel_power,0.0003011401177865943
C5_skew,0.00030083199702367553
AF7_max,0.00030033142193956774
F2_mean,0.0003000674219405446
F4_quartile_3,0.00029915415353704076
FC6_beta_rel_power,0.00029868445560783034
FT7_max,0.00029845600004252767
F7_mean,0.00029699274095675493
AF1_median,0.0002969519115936419
C4_max,0.00029691483655250236
AF8_quartile_3,0.00029680508641045033
AF8_skew,0.00029669369559366275
nd_alpha_power,0.00029565130867088076
FT7_quartile_3,0.00029556970248148626
C2_median,0.0002944293074141242
CP4_alpha_rel_power,0.0002941271761812054
AF1_std,0.00029290749388169
FP2_kurtosis,0.0002922392467325077
FC5_beta_rel_power,0.0002915257625552634
P5_median,0.00029101122650837215
PO1_theta_power,0.00029089087753885183
FC5_median,0.00028951938248228366
OZ_delta_power,0.00028936896207927933
P6_ptp,0.0002887619306730175
C1_quartile_1,0.0002880397116473221
FP1_max,0.0002874383634925804
FT8_theta_power,0.0002873551585248964
O1_quartile_3,0.0002869267545404054
AF1_ptp,0.0002856995049571808
F7_delta_rel_power,0.0002856339283092196
FCZ_min,0.0002850418949678217
FT8_delta_rel_power,0.0002837377872383759
CP5_alpha_rel_power,0.0002815857870796447
C3_beta_power,0.00028147652503624393
FT8_alpha_power,0.0002812999213759008
CPZ_mean,0.0002810001794165255
C3_ptp,0.00028041755886714216
T8_beta_power,0.00028020698335551547
FCZ_delta_rel_power,0.0002799022364200163
C4_kurtosis,0.0002786867483615113
FC3_mean,0.00027835980390775866
F2_quartile_1,0.00027799279087747307
CP5_kurtosis,0.000277858660038426
F1_mean,0.0002776383887478215
F3_skew,0.0002775579103064146
F1_theta_rel_power,0.0002773882145631831
P3_theta_rel_power,0.00027534530914400686
O1_delta_power,0.00027467107196129845
CP6_gamma_power,0.00027330605043338356
